# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAD14	YNL331C	YNL331C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AAH1	YNL141W	YNL141W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
ACB1	YGR037C	YGR037C_mRNA	protein_coding	0	0	0	8	5	0	0	0	0	0	0	0	0	3
ACH1	YBL015W	YBL015W_mRNA	protein_coding	0	1	0	48	26	0	0	0	0	0	0	0	1	22
ACM1	YPL267W	YPL267W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
ACO1	YLR304C	YLR304C_mRNA	protein_coding	0	3	0	12	0	0	0	0	0	0	0	0	3	12
ACP1	YKL192C	YKL192C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ACS1	YAL054C	YAL054C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADD37	YMR184W	YMR184W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ADE13	YLR359W	YLR359W_mRNA	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	1	4
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	0	0	0	40	17	0	0	0	0	0	0	0	0	23
ADY4	YLR227C	YLR227C_mRNA	protein_coding	0	1	0	11	7	0	0	0	0	0	0	0	1	4
AFI1	YOR129C	YOR129C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AGE2	YIL044C	YIL044C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AGP1	YCL025C	YCL025C_mRNA	protein_coding	0	0	1	5	4	0	0	1	0	0	0	0	0	1
AHP1	YLR109W	YLR109W_mRNA	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0	0
AHT1	YHR093W	YHR093W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AIM11	YER093C-A	YER093C-A_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AIM2	YAL049C	YAL049C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AIM32	YML050W	YML050W_mRNA	protein_coding	0	3	0	22	12	0	0	0	0	0	0	0	3	10
AIM33	YML087C	YML087C_mRNA	protein_coding	0	4	0	33	19	0	0	0	0	0	0	0	4	14
AIM39	YOL053W	YOL053W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AIP1	YMR092C	YMR092C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ALA1	YOR335C	YOR335C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ALD6	YPL061W	YPL061W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALG12	YNR030W	YNR030W_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
ALG13	YGL047W	YGL047W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALG14	YBR070C	YBR070C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALG3	YBL082C	YBL082C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALG7	YBR243C	YBR243C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
ALK2	YBL009W	YBL009W_mRNA	protein_coding	0	2	0	37	17	0	0	0	0	0	0	0	2	20
ALO1	YML086C	YML086C_mRNA	protein_coding	0	1	0	40	21	0	0	0	0	0	0	0	1	19
ALR1	YOL130W	YOL130W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ALR2	YFL050C	YFL050C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALT1	YLR089C	YLR089C_mRNA	protein_coding	0	7	1	34	12	0	0	1	0	0	0	0	7	22
ALT2	YDR111C	YDR111C_mRNA	protein_coding	0	1	0	5	2	0	0	0	0	0	0	0	1	3
